case,family,n,max_ux,max_uy,min_uy,avg_sigma_x,avg_sigma_y,avg_tau_xy,reference_metric,reference_value_8x8,abs_diff_to_8x8,rel_diff_to_8x8
t3_conv_shear_1x1,shear,1,0.00202365,0.00858918,0.0,0.0,-112.51650000000001,500.0,max_uy,0.0163122,0.007723019999999999,0.4734505462169419
t3_conv_shear_2x2,shear,2,0.00403646,0.0114415,0.0,0.0006300000000152295,-97.65907,499.999875,max_uy,0.0163122,0.004870699999999999,0.29859246453574617
t3_conv_shear_4x4,shear,4,0.00617454,0.0145211,0.0,6.850000001285515e-05,-48.107149375,500.00003125,max_uy,0.0163122,0.0017910999999999986,0.10980125304986443
t3_conv_shear_8x8,shear,8,0.00734695,0.0163122,0.0,6.721093749811023e-05,-17.586499859375,499.9999984375,max_uy,0.0163122,0.0,0.0
t3_conv_tension_1x1,tension,1,0.00485511,0.000989157,-0.000346205,999.9985,159.78685,0.0,max_ux,0.00474706,0.00010805000000000016,0.022761456564694815
t3_conv_tension_2x2,tension,2,0.00486852,0.000995509,-0.000515564,999.999625,94.499746375,4.124999999424728e-06,max_ux,0.00474706,0.00012146000000000032,0.02558636292779116
t3_conv_tension_4x4,tension,4,0.00479445,0.000877139,-0.000617262,1000.0000625,63.349284865625,7.125000000223099e-06,max_ux,0.00474706,4.7389999999999585e-05,0.009983021069883167
t3_conv_tension_8x8,tension,8,0.00474706,0.00079275,-0.000693644,1000.0000390625,49.8330829453125,5.9507812501006455e-06,max_ux,0.00474706,0.0,0.0
