case,family,n,max_ux,max_uy,min_uy,avg_sigma_x,avg_sigma_y,avg_tau_xy,reference_metric,reference_value_8x8,abs_diff_to_8x8,rel_diff_to_8x8
q4_conv_shear_1x1,shear,1,0.00481481,0.0110053,0.0,-4.00321e-14,1.70136e-13,500.0,max_uy,0.0169541,0.005948799999999999,0.3508767790681899
q4_conv_shear_2x2,shear,2,0.00625802,0.0139833,0.0,0.0,0.0,500.0,max_uy,0.0169541,0.002970799999999999,0.17522605151556256
q4_conv_shear_4x4,shear,4,0.007292,0.0160605,0.0,0.0,0.0,500.0,max_uy,0.0169541,0.0008936000000000013,0.05270701482237343
q4_conv_shear_8x8,shear,8,0.00777892,0.0169541,0.0,0.0,0.0,500.0,max_uy,0.0169541,0.0,0.0
q4_conv_tension_1x1,tension,1,0.0046201,0.000955882,-0.000955882,1000.0,99.2647,-1.7514e-14,max_ux,0.00472091,0.00010080999999999979,0.021353933881391465
q4_conv_tension_2x2,tension,2,0.00468107,0.000753273,-0.000753273,1000.0,66.98355,0.0,max_ux,0.00472091,3.984000000000019e-05,0.008439050945686359
q4_conv_tension_4x4,tension,4,0.00471071,0.000744345,-0.000744345,999.999375,51.44989375,0.0,max_ux,0.00472091,1.020000000000014e-05,0.0021606003927209243
q4_conv_tension_8x8,tension,8,0.00472091,0.000740837,-0.000740837,999.99996875,45.01705996875,0.0,max_ux,0.00472091,0.0,0.0
